ENTE,STRUTTURA,INDIRIZZO,"LATITUDINE
LONGITUDINE",TELEFONO,EMAIL,AREA RIFERIMENTO,SERVIZIO
Agape Societa' Cooperativa Sociale A R.L.,Casa Alloggio Eidos - Salute Mentale,"Via 6 Settembre 1860, 18 84128 Salerno","40.664680, 14.793224",089 2963890,cooperativa.agape2013@gmail.com,Area Integrazione Socio-Sanitaria,Casa alloggio a bassa attività assistenziale
Agape Societa' Cooperativa Sociale A R.L.,Gruppo Appartamento Estia,"Via Roma, 82, 84092, Bellizzi (SA)","40.618925, 14.952809",0828 213263,cooperativa.agape2013@gmail.com,Area Disabilità,Accoglienza Residenziale per soggetti con disabilità
Agorà,Elisir,"Via Libertini, 104 - 80023 Caivano (NA)","40.953319, 14.297042", , ,Area Immigrazione,Accoglienza residenziale MSNA
Agorà,Sig. Nilsson,"Via Cesarano, 27 - 84022 Campagna (SA)","40.666590, 15.106017", , ,Area Minori,Accoglienza residenziale minori
Agorà,La Casa Di Pippi," Via Mar Tirreno, 15 - 84098 Pontecagnano Faiano (SA)","40.634669, 14.869428", , ,Area Minori,Accoglienza residenziale minori
Alice,Angels,"Via Giannone, Snc - 81030 Villa Di Briano (CE)","41.002030, 14.165489", , ,Area Immigrazione,Accoglienza residenziale MSNA
Aloe Srl,Belvedere,Via San Giovanni traversa Cupa Ciprillo 1/A - San Cirpiano Picentino (SA),"40.720189, 14.872554",331 2332600,marivoto@alice.it,Area Integrazione Socio-Sanitaria,Comunità tutelare
Amistad,Don Giovanni Pirone - Casa Amoris,"Via Duca D'Aosta, 9 - Coperachia Di Pellezzano (SA)","40.719002, 14.765814",089 566851,donpironeamoris@gmail.com,Area Contrasto Alla Povertà,Accoglienza donne maltrattate e Donne con bambini
Arci Salerno APS,Sede Legale,"Via Portacatena, 62 - Salerno (SA)","40.680177, 14.753985",,,Area Immigrazione,Sportello Tam Tam
Arci Salerno APS,Sede Legale,"Via Portacatena, 62 - Salerno (SA)","40.680177, 14.753985",,,Area Immigrazione,Fuori Tratta
Associazione Quartiere Ogliara,Centro Diurno Ogliara,"Via Ogliara, 4 Salerno","40.706648, 14.799886",, ,Area Minori,"Accoglienza semi residenziale minori
Centro polifunzionale"
