ENTE;STRUTTURA;INDIRIZZO;"LATITUDINE
LONGITUDINE";SITO;TELEFONO;EMAIL;AREA RIFERIMENTO;SERVIZIO;DESCRIZIONE
Agape Societa' Cooperativa Sociale A R.L.;Casa Alloggio Eidos - Salute Mentale;Via 6 Settembre 1860, 18 84128 Salerno;40.664680, 14.793224;www.agapeonline.it;089 2963890;cooperativa.agape2013@gmail.com;Area Integrazione Socio-Sanitaria;Casa alloggio a bassa attività assistenziale;Servizio residenziale che accoglie ospiti con patologie psichiatriche in condizioni tali da considerare necessario l’inserimento in un contesto ambientale favorente il cambiamento terapeutico.
Agape Societa' Cooperativa Sociale A R.L.;Gruppo Appartamento Estia;Via Roma, 82, 84092, Bellizzi (SA);40.618925, 14.952809;www.agapeonline.it;0828 213263;cooperativa.agape2013@gmail.com;Area Disabilità;Accoglienza Residenziale per soggetti con disabilità;Offre ospitalità, assistenza e un nucleo di convivenza di tipo familiare, a carattere temporaneo o permanente. Cerca di favorire l’autogestione degli ospiti nei riguardi della loro vita domestica e sociale.
Agorà;Elisir;Via Libertini, 104 - 80023 Caivano (NA);40.953319, 14.297042;www.serviziaiminori.it;0818345105;elisir.coopagora@libero.it;Area Immigrazione;Accoglienza residenziale MSNA;Servizi residenziale rivolto a minori che vivono situazioni di disagio personale e/o familiare tali da mettere a rischio la loro crescita intesa come benessere fisico e psicologico, per i quali servono soluzioni sostitutive o integrative della famiglia di origine.
Agorà;Sig. Nilsson;Via Cesarano, 27 - 84022 Campagna (SA);40.666590, 15.106017;www.agoraonlus.it;3471340989;info@agoraonlus.it;Area Minori;Accoglienza residenziale minori;Servizi residenziale rivolto a minori che vivono situazioni di disagio personale e/o familiare tali da mettere a rischio la loro crescita intesa come benessere fisico e psicologico, per i quali servono soluzioni sostitutive o integrative della famiglia di origine.
Agorà;La Casa Di Pippi;Via Mar Tirreno, 15 - 84098 Pontecagnano Faiano (SA);40.634669, 14.869428;;3471340989;cooperativaagora@hotmail.it;Area Minori;Accoglienza residenziale minori;Servizi residenziale rivolto a minori che vivono situazioni di disagio personale e/o familiare tali da mettere a rischio la loro crescita intesa come benessere fisico e psicologico, per i quali servono soluzioni sostitutive o integrative della famiglia di origine.
Alice;Angels;Via Giannone, Snc - 81030 Villa Di Briano (CE);41.002030, 14.165489;www.alicecoop.it; 0574433102; alice@alicecoop.it;Area Immigrazione;Accoglienza residenziale MSNA; 
Aloe Srl;Belvedere;Via San Giovanni traversa Cupa Ciprillo 1/A - San Cirpiano Picentino (SA);40.720189, 14.872554;www.belvederetutelare.it;331 2332600;marivoto@alice.it;Area Integrazione Socio-Sanitaria;Comunità tutelare;Struttura di assistenza residenziale per anziani e disabili.
Amistad;Don Giovanni Pirone - Casa Amoris;Via Duca D’Aosta, 9 - Coperachia Di Pellezzano (SA);40.719002, 14.765814;www.caritassalerno.it;089 566851;donpironeamoris@gmail.com;Area Contrasto Alla Povertà;Accoglienza donne maltrattate e Donne con bambini; 
Arci Salerno APS;Sede Legale;Via Portacatena, 62 - Salerno (SA);40.680177, 14.753985;www.arci.it;0892750965;arcisalerno@tiscali.it;Area Immigrazione;Sportello Tam Tam;Sportello di orientamento e sostegno per immigrati.
Arci Salerno APS;Sede Legale;Via Portacatena, 62 - Salerno (SA);40.680177, 14.753985;www.arci.it;0982750965;arcisalerno@tiscali.it;Area Immigrazione;Fuori Tratta;Consultorio giovanile che offre servizio pubblico e gratuito di ascolto, informazioner e orientamento al lavoro e alla formazione.
Associazione Culturale La Mennola;Teatro La Mennola;Via Salvatore Calenda - 84126 Salerno SA;40.687984, 14.770530;www.teatrolamennola.it;089252609;info@teatrolamennola.it;Area Persone Anziane;Servizio integrazione anziani;
Associazione La Ribalta APS - Teatro La Ribalta;Teatro La Ribalta;Via Salvatore Calenda, 98 - Salerno (SA);40.688563, 14.771330;www.teatrolaribaltasalerno.it;0899958245;laribalta@hotmail.it;Area Persone Anziane;Servizio integrazione anziani;
Associazione Laboratorio “Teatro Arbostella”;Teatro Arbostella;Viale Verdi, 2 - Salerno (SA);40.652622, 14.812225;www.teatroarbostella.it;34721869810;teatroarbostella@gmail.com;Area Persone Anziane;Servizio integrazione anziani;
